Frames,Vehicles,Total
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,0,1
23,1,2
24,1,2
25,1,2
26,1,2
27,1,2
28,0,2
29,0,2
30,0,2
31,0,2
32,0,2
33,0,2
34,0,2
35,0,2
36,0,2
37,0,2
38,0,2
39,0,2
40,0,2
41,0,2
42,0,2
43,0,2
44,0,2
45,0,2
46,0,2
47,0,2
48,0,2
49,0,2
50,0,2
51,0,2
52,0,2
53,0,2
54,0,2
55,0,2
56,0,2
57,0,2
58,0,2
59,0,2
60,0,2
61,0,2
62,0,2
63,0,2
64,0,2
65,0,2
66,0,2
67,0,2
68,0,2
69,0,2
70,0,2
71,0,2
72,0,2
73,0,2
74,0,2
75,0,2
76,0,2
77,0,2
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,0,2
84,0,2
85,0,2
86,0,2
87,0,2
88,1,3
89,1,3
90,1,3
91,1,3
92,1,3
93,1,3
94,1,3
95,1,3
96,1,3
97,1,3
98,1,3
99,1,3
100,0,3
101,1,4
102,1,4
103,1,4
104,1,4
105,1,4
106,1,4
107,1,4
108,1,4
109,1,4
110,1,4
111,1,4
112,1,4
113,0,4
114,0,4
115,0,4
116,0,4
117,0,4
118,0,4
119,0,4
120,0,4
121,0,4
122,0,4
123,0,4
124,0,4
125,0,4
126,0,4
127,0,4
128,0,4
129,0,4
130,0,4
131,0,4
132,0,4
133,0,4
134,0,4
135,0,4
136,0,4
137,0,4
138,0,4
139,0,4
140,0,4
141,0,4
142,0,4
143,0,4
144,0,4
145,0,4
146,0,4
147,0,4
148,0,4
149,0,4
150,0,4
151,0,4
152,0,4
153,0,4
154,0,4
155,0,4
156,0,4
157,0,4
158,0,4
159,0,4
160,0,4
161,0,4
162,0,4
163,0,4
164,0,4
165,0,4
166,0,4
167,0,4
168,0,4
169,0,4
170,0,4
171,0,4
172,0,4
173,0,4
174,0,4
175,0,4
176,0,4
177,0,4
178,0,4
179,0,4
180,0,4
181,0,4
182,0,4
183,1,5
184,1,5
185,1,5
186,1,5
187,1,5
188,0,5
189,1,6
190,1,6
191,0,6
192,1,7
193,1,7
194,1,7
195,2,8
196,1,8
197,2,9
198,2,9
199,2,9
200,2,9
201,2,9
202,2,9
203,2,9
204,2,9
205,2,9
206,2,9
207,2,9
208,1,9
209,0,9
210,0,9
211,0,9
212,0,9
213,1,10
214,1,10
215,1,10
216,1,10
217,1,10
218,1,10
219,1,10
220,1,10
221,1,10
222,1,10
223,1,10
224,0,10
225,0,10
226,0,10
227,0,10
228,0,10
229,0,10
230,0,10
231,0,10
232,0,10
233,0,10
234,0,10
235,0,10
236,0,10
237,0,10
238,0,10
239,0,10
240,0,10
241,0,10
242,0,10
243,0,10
244,0,10
245,0,10
246,0,10
247,0,10
248,0,10
249,1,11
250,1,11
251,1,11
252,1,11
253,1,11
254,1,11
255,1,11
256,1,11
257,1,11
258,1,11
259,1,11
260,1,11
261,1,11
262,1,11
263,1,11
264,0,11
265,0,11
266,0,11
267,0,11
268,0,11
269,0,11
270,0,11
271,0,11
272,0,11
273,0,11
274,0,11
275,0,11
276,0,11
277,0,11
278,0,11
279,0,11
280,0,11
281,0,11
282,0,11
283,0,11
284,0,11
285,0,11
286,0,11
287,0,11
288,0,11
289,1,12
290,1,12
291,1,12
292,1,12
293,1,12
294,1,12
295,1,12
296,1,12
297,1,12
298,1,12
299,1,12
300,1,12
301,1,12
302,1,12
303,0,12
304,0,12
305,0,12
306,0,12
307,0,12
308,0,12
309,0,12
310,0,12
311,0,12
312,0,12
313,0,12
314,0,12
315,0,12
316,0,12
317,1,13
318,1,13
319,1,13
320,1,13
321,1,13
322,1,13
323,1,13
324,1,13
325,1,13
326,1,13
327,1,13
328,1,13
329,1,13
330,1,13
331,1,13
332,1,13
333,1,13
334,0,13
335,0,13
336,0,13
337,0,13
338,0,13
339,0,13
340,0,13
341,0,13
342,0,13
343,0,13
344,0,13
345,0,13
346,0,13
347,0,13
348,0,13
349,0,13
350,0,13
351,0,13
352,0,13
353,0,13
354,0,13
355,0,13
356,0,13
357,0,13
358,0,13
359,0,13
360,0,13
361,0,13
362,0,13
363,0,13
364,0,13
365,0,13
366,0,13
367,0,13
368,0,13
369,0,13
370,0,13
371,0,13
372,0,13
373,0,13
374,0,13
375,0,13
376,1,14
377,1,14
378,1,14
379,1,14
380,2,15
381,2,15
382,2,15
383,2,15
384,2,15
385,2,15
386,1,15
387,1,15
388,1,15
389,1,15
390,1,15
391,1,15
392,1,15
393,1,15
394,1,15
395,0,15
396,0,15
397,0,15
398,0,15
399,0,15
400,0,15
401,0,15
402,0,15
403,0,15
404,0,15
405,0,15
406,0,15
407,0,15
408,0,15
409,0,15
410,0,15
411,0,15
412,0,15
413,0,15
414,0,15
415,0,15
416,0,15
417,0,15
418,0,15
419,0,15
420,0,15
421,0,15
422,0,15
423,0,15
424,0,15
425,0,15
426,0,15
427,0,15
428,0,15
429,0,15
430,0,15
431,0,15
432,0,15
433,0,15
434,0,15
435,0,15
436,0,15
437,0,15
438,0,15
439,0,15
440,0,15
441,0,15
442,0,15
443,0,15
444,0,15
445,0,15
446,0,15
447,0,15
448,0,15
449,0,15
450,0,15
451,0,15
452,0,15
453,0,15
454,0,15
455,0,15
456,0,15
457,0,15
458,0,15
459,0,15
460,0,15
461,0,15
462,0,15
463,0,15
464,0,15
465,0,15
466,0,15
467,0,15
468,0,15
469,0,15
470,0,15
471,0,15
472,0,15
473,0,15
474,0,15
475,0,15
476,0,15
477,0,15
478,0,15
479,0,15
480,0,15
481,0,15
482,0,15
483,0,15
484,0,15
485,0,15
486,0,15
487,0,15
488,0,15
489,0,15
490,0,15
491,0,15
492,0,15
493,0,15
494,0,15
495,0,15
496,0,15
497,0,15
498,0,15
499,0,15
500,0,15
501,0,15
502,0,15
503,0,15
504,0,15
505,0,15
506,0,15
507,0,15
508,0,15
509,0,15
510,0,15
511,0,15
512,1,16
513,1,16
514,1,16
515,1,16
516,1,16
517,1,16
518,1,16
519,1,16
520,1,16
521,1,16
522,1,16
523,1,16
524,1,16
525,1,16
526,0,16
527,0,16
528,0,16
529,0,16
530,0,16
531,0,16
532,0,16
533,0,16
534,0,16
535,0,16
536,1,17
537,1,17
538,0,17
539,1,18
540,1,18
541,1,18
542,2,19
543,1,19
544,1,19
545,1,19
546,1,19
547,1,19
548,1,19
549,0,19
550,0,19
551,0,19
552,0,19
553,0,19
554,0,19
555,0,19
556,0,19
557,0,19
558,0,19
559,0,19
560,0,19
561,0,19
562,0,19
563,0,19
564,0,19
565,0,19
566,0,19
567,0,19
568,0,19
569,0,19
570,0,19
